is_there_an_emotion_directed_at_a_brand_or_product,tweet
No emotion toward brand or product,2wks only apple store in 6th austin street is now opened #sxsw
No emotion toward brand or product,a special apple store opening at 6th and congress for sxsw &amp ipad 2 launch wwwapplecom/retail/thedomain/  #apple #ipad2 #sxsw #fb
Positive emotion,makeshift apple store at 6th and congress you're kidding me amazing #sxsw #apple
No emotion toward brand or product,temporary apple store at #sxsw - huge line {link}
Positive emotion,temporary apple store at sxsw is really coolas is the ipad 2 ) #apple #sxsw #fanboy
Positive emotion,temporary apple store being set up for #sxsw shit now the temptation is going to be out of control
No emotion toward brand or product,temporary apple store for #sxsw line goes around the block {link}
No emotion toward brand or product,temporary apple store opens mention 6th &amp congress tomorrow #ipad2 #sxsw
Positive emotion,temporary apple store opens at 5pm at 6th and congress line already growing #ipad - viewio {link} via mention #sxsw
Positive emotion,temporary apple store will be a block from my office can't wait to see the line tomorrow photos to come #sxsw #ipad2
No emotion toward brand or product,the #sxsw apple store opens at noon each day and closes when they run out of ipad2s why didn't i buy stock 10 years ago
No emotion toward brand or product,base camp apple  #sxsw {link}
Negative emotion,ipad news apps 'so last year' at #sxsw {link}
Positive emotion,10 iphone apps youûªll probably need and use during #sxsw {link}
Positive emotion,now there are 150 million mobile google maps users mention #sxsw
No emotion toward brand or product,the lines are already forming at apple's pop-up store in austin aren't these people here to see the festival {link} #sxsw
Positive emotion,and a few are android too rt mention 10 new mobile apps iûªll be using atåê#sxsw  {link}
No emotion toward brand or product,#sxsw you are attending sxsw report what you see with your android phone get bannka app
Positive emotion,ipad apps are just like software development in that once you release it you have to start working on the update #sxsw
No emotion toward brand or product,my tweets are stalled data sluggish come on at&ampt verizon is embarrassing iphone customers who haven't switched #sxsw #iphone
No emotion toward brand or product,those who are tweeting that google is coming out with circles platform today are outside of the circle keep up #itsnot #sxsw
No emotion toward brand or product,ûïmention are you stupid find it out at the #sxsw on your mac {link} for a special price #games #macû
No emotion toward brand or product,slate see as much traffic to mobile safari as to their app on the ipad #sxsw #electricnews
No emotion toward brand or product,unloading at #apple store corner of 6th and congress in austin temp store for #sxsw  {link}
No emotion toward brand or product,great day at #sxsw -but jaloux of mention &amp his new ipadlook at him on school bus on 1st day of school {link}
No emotion toward brand or product,i arrived at #sxsw and my mention issue hasn't been resolved dying to use the iphone app but cant login rtmention mention we're on it
No emotion toward brand or product,i will be at #sxsw for screenburn mention launch of my clients new iphone game #travellerarlaunch find out more at {link}
No emotion toward brand or product,if anyone at #sxsw wants to see a demo of piccraft or an ipad 2 find me
No emotion toward brand or product,if i were at #sxsw i could spend it all at the mention teaching theater alone just look at that schedule {link}
No emotion toward brand or product,if you're at #sxsw  meet us at fado we will give you wristbands that magically lead to beer come say hi {link}
No emotion toward brand or product,if you're at #sxsw and want an ipad 2 apple's setting up a temporary store check it out {link}
Positive emotion,overheard at #sxsw &quotthe ipad is a relaxing computer&quot agreed #ipad #apple
Negative emotion,overheard at #sxsw interactive &quotarg i hate the iphone i want my blackberry back&quot #shocked
No emotion toward brand or product,if you're at #sxsw meet our author and a host of android devs sat at 1230pm hilton room 615ab
Negative emotion,ûïmention at #sxsw &quotapple comes up with cool technology no one's ever heard of because they don't go to conferences&quotû
No emotion toward brand or product,for those at #sxsw apple sets up 5000-square-foot temporary store at sxsw to sell new ipads test potential traffic {link}
No emotion toward brand or product,overheard at #sxsw &quotgoogle doesn't launch products at other people's events&quot
No emotion toward brand or product,nerd bait at #sxsw apple set to open popup shop in core of sxsw action {link}
No emotion toward brand or product,long line at #sxsw what else  apple store {link}
Positive emotion,last year at #sxswi everbody was talking about the ipad this year it's social media driven revolutions this year is better #sxsw
Positive emotion,long line at apple pop up store for ipad 2 great marketing apple #sxsw
Positive emotion,ûïmention at google 4 people do the work of 7 people rather than 7 people doing the work of 4 #agileagency #sxswû
Positive emotion,knackered at home playing with ipad and updating iphone but timeline smashed with partytweets can't make me go to bed #sxsw
Negative emotion,overheard at mdw (and i'll second it) &quothalfway through my iphone battery already and i haven't even boarded the plane to #sxsw&quot #amateurhour
Positive emotion,#technews at sxsw apple schools the marketing experts {link} #tech_news #apple #jobs_co #sxsw #tech
Positive emotion,first day at sxsw  fun final presentation on google doodles  #googledoodle #sxsw
Positive emotion,huge line at the #apple store in #austin - #sxsw crowd tripping over each other to get the new ipad
Positive emotion,if ur not at the #google #aclu 80's partyu should be #sxsw
No emotion toward brand or product,the queue at the apple pop-up store #sxsw {link}
No emotion toward brand or product,posted up at the dmi house intimate stranger on the stage they got a restaurant crowd sitting down to deal wif  #sxsw {link}
No emotion toward brand or product,the woman at the google talk sounded just like chelsea handler lol #sxsw
Positive emotion,i laughed at the ipad until i spent this week hauling my macbook everywhere now i really want an ipad and a shoulder rub #sxsw
Positive emotion,any #sxsw attendees need a qr code reader for their iphone tweet us an image of you with your badge and the first 5 get optiscan free
Positive emotion,hey #sxsw attendeesyou should hop in line at the #apple store now only four days til your new ipad2 comes in
No emotion toward brand or product,is anyone attending to the google &amp aclu party mention sxsw if so could you plz up some pictures thanks #sxsw
No emotion toward brand or product,march 11 austin tx will people line up at the #sxsw registration or at the apple store ^_^
No emotion toward brand or product,landed in austin spotted the google places ads for #sxsw at the airport &quotthe ultimate austin pocket guide&quot more like #yelp than #itouru
Negative emotion,they took away the lego pit but replaced it with a recharging station ) #sxsw and i might check prices for an iphone - crap samsung android
No emotion toward brand or product,ûïmention awesome to meet mention mention and mention standing in the apple queue at #sxsw yesterday on to day 2û&lt&lt so cute
Negative emotion,mention bad apple shows up late qs the process poo-poos ideas leaves early can even be &quoti'm too creative&quot or busy #gamestorming #sxsw
No emotion toward brand or product,mention bahrain govt turned off google earth as a result more people learned about it and govt had to turn it back on #sxsw
Negative emotion,trying to balance the power of power needs on iphone vs ipad at #sxsw this 3g ipad sucks it out quick might have go airplane mode
No emotion toward brand or product,racing to ballroom d to see mention marissa mayer #sxsw #sxswi
Positive emotion,my iphone battery at 100% #winning at #sxsw
Negative emotion,my iphone battery can't keep up with my tweets thanks apple  #sxsw  #precommerce
No emotion toward brand or product,will this be another google wave rt mention we interrupt your regularly scheduled #sxsw geek programming w/big #google news {link}
Positive emotion,this will be fun to watch #ipadmadness rt mention apple opening pop-up store in austin for sxsw {link} #sxsw
